# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2138       1.828810787676e+02       5.126187093895e+00       4.576032656344e-02      -3.938415248054e+00       1.980900335061e-09       3.922041204307e-07       2.613468544326e-08 
 2139       1.821884182086e+02       5.137188330604e+00       4.570642242977e-02      -3.872677917125e+00       1.979381321238e-09       3.896240598656e-07       2.674922963753e-08 
 2140       1.814951144145e+02       5.148488397399e+00       4.565247094416e-02      -3.808863282098e+00       1.977863153804e-09       3.870389655818e-07       2.735631913805e-08 
 2141       1.808013050552e+02       5.160077430276e+00       4.559847387441e-02      -3.746992265320e+00       1.976345771927e-09       3.844493929115e-07       2.795565351048e-08 
 2142       1.801071283124e+02       5.171945526108e+00       4.554443299450e-02      -3.687085851545e+00       1.974829114145e-09       3.818559003092e-07       2.854693076800e-08 
 2143       1.794127174289e+02       5.184082731242e+00       4.549035016252e-02      -3.629160146994e+00       1.973313139365e-09       3.792590202251e-07       2.912987861158e-08 
 2144       1.787181843143e+02       5.196479007331e+00       4.543622755497e-02      -3.573211519542e+00       1.971797890187e-09       3.766591713827e-07       2.970434850768e-08 
 2145       1.780236358287e+02       5.209124265180e+00       4.538206743404e-02      -3.519231357156e+00       1.970283430443e-09       3.740567456174e-07       3.027022256707e-08 
 2146       1.773291792238e+02       5.222008376027e+00       4.532787206989e-02      -3.467210999625e+00       1.968769824268e-09       3.714521369336e-07       3.082738238737e-08 
 2147       1.766349221432e+02       5.235121171493e+00       4.527364374065e-02      -3.417141738495e+00       1.967257136103e-09       3.688457415100e-07       3.137570905193e-08 
 2148       1.759409726235e+02       5.248452443540e+00       4.521938473244e-02      -3.369014817004e+00       1.965745430696e-09       3.662379577049e-07       3.191508312881e-08 
